Unique Lake,sampledate,Chla (µg/L),TP (µg/L),TN (µg/L)
CHNL26,2019-08-15,1.0,230.0,1840.0
CHNL26,2019-09-15,4.0,150.0,1520.0
CHNL26,2019-10-15,5.0,120.0,2960.0
CHNL26,2019-11-15,9.0,130.0,2680.0
CHNL26,2019-12-15,9.0,150.0,2870.0
CHNL26,2020-01-15,10.0,90.0,3850.0
CHNL26,2020-02-15,10.0,43.0,3030.0
CHNL26,2020-03-15,20.0,50.0,2750.0
CHNL26,2020-04-15,40.0,90.0,1770.0
CHNL26,2020-05-15,40.0,100.0,3390.0
CHNL26,2020-06-15,7.0,77.0,3430.0
CHNL26,2020-07-15,9.0,84.0,3020.0
CHNL26,2020-08-15,10.0,93.0,1960.0
CHNL26,2020-09-15,26.0,70.0,2640.0
CHNL26,2020-10-15,3.0,61.0,2120.0
CHNL26,2020-11-15,6.0,130.0,2140.0
CHNL26,2020-12-15,7.0,58.0,3730.0
CHNL26,2021-01-15,51.0,90.0,2640.0
CHNL26,2021-02-15,6.0,80.0,2640.0
CHNL26,2021-03-15,14.0,90.0,2040.0
CHNL26,2021-04-15,18.0,80.0,2130.0
CHNL26,2021-05-15,19.0,90.0,1260.0
CHNL26,2021-06-15,5.0,110.0,1170.0
CHNL26,2021-07-15,15.0,160.0,900.0
CHNL26,2021-08-15,41.0,180.0,1270.0
CHNL26,2021-09-15,10.0,160.0,430.0
CHNL26,2021-10-15,10.0,150.0,1190.0
CHNL26,2021-11-15,23.0,90.0,2250.0
CHNL26,2021-12-15,25.0,60.0,1840.0
CHNL26,2022-01-15,8.0,65.0,2100.0
CHNL26,2022-02-15,20.0,50.0,2240.0
CHNL26,2022-03-15,21.0,80.0,1880.0
CHNL26,2022-05-15,62.0,40.0,1510.0
CHNL26,2022-06-15,23.0,50.0,1080.0
CHNL26,2022-07-15,9.0,130.0,1020.0
CHNL26,2022-08-15,46.0,160.0,1180.0
CHNL26,2022-09-15,12.0,145.0,1280.0
CHNL26,2022-10-15,19.0,70.0,1200.0
CHNL26,2022-11-15,8.0,110.0,1460.0
CHNL26,2022-12-15,3.0,70.0,2100.0
CHNL28,2016-01-15,2.33,5.0,457.0
CHNL28,2016-02-15,2.33,5.0,640.0
CHNL28,2016-03-15,2.2300000000000004,5.0,567.0
CHNL28,2016-04-15,2.2300000000000004,3.0,560.0
CHNL28,2016-05-15,1.8699999999999999,9.0,233.0
CHNL28,2016-06-15,1.77,9.0,250.0
CHNL28,2016-07-15,2.33,8.0,257.0
CHNL28,2016-08-15,2.06,8.0,247.0
CHNL28,2016-09-15,2.4099999999999997,9.0,257.0
CHNL28,2016-10-15,2.17,8.0,748.0
CHNL28,2016-11-15,6.32,8.0,810.0
CHNL28,2016-12-15,2.52,9.0,183.0
CHNL28,2017-01-15,6.44,5.0,257.0
CHNL28,2017-02-15,2.16,5.0,767.0
CHNL28,2017-03-15,6.31,3.0,730.0
CHNL28,2017-04-15,6.7,,860.0
CHNL28,2017-05-15,7.26,,800.0
CHNL28,2017-06-15,2.28,,593.0
CHNL28,2017-07-15,2.27,,737.0
CHNL28,2017-08-15,2.31,,693.0
CHNL28,2017-09-15,5.45,,640.0
CHNL28,2017-10-15,4.33,,610.0
CHNL28,2017-11-15,4.67,,551.67
CHNL28,2017-12-15,5.67,23.33,733.33
CHNL28,2018-01-15,3.33,20.0,790.0
CHNL28,2018-02-15,3.0,8.33,810.0
CHNL28,2018-03-15,6.0,10.0,630.0
CHNL28,2018-04-15,4.0,10.0,570.0
CHNL28,2018-05-15,7.0,10.0,720.0
CHNL28,2018-06-15,3.0,10.0,820.0
CHNL28,2018-07-15,6.0,10.0,490.0
CHNL28,2018-08-15,4.0,10.0,880.0
CHNL28,2018-09-15,8.0,5.0,560.0
CHNL28,2018-10-15,8.0,20.0,700.0
CHNL28,2018-11-15,4.0,10.0,650.0
CHNL28,2018-12-15,3.0,10.0,710.0
CHNL28,2019-01-15,2.0,5.0,1200.0
CHNL28,2019-02-15,6.0,5.0,770.0
CHNL28,2019-03-15,2.0,20.0,840.0
CHNL28,2019-04-15,4.0,5.0,770.0
CHNL28,2019-05-15,2.0,10.0,580.0
CHNL28,2019-06-15,3.0,5.0,750.0
CHNL28,2019-07-15,4.0,5.0,820.0
CHNL28,2019-08-15,6.0,10.0,770.0
CHNL28,2019-09-15,7.0,5.0,820.0
CHNL28,2019-10-15,4.0,5.0,760.0
CHNL28,2019-11-15,2.0,5.0,560.0
CHNL28,2019-12-15,6.0,10.0,870.0
CHNL28,2020-01-15,2.0,5.0,620.0
CHNL28,2020-02-15,2.0,5.0,830.0
CHNL28,2020-03-15,2.0,5.0,620.0
CHNL28,2020-04-15,4.0,15.0,600.0
CHNL28,2020-05-15,2.0,5.0,740.0
CHNL28,2020-06-15,4.0,5.0,720.0
CHNL28,2020-07-15,2.0,5.0,1050.0
CHNL28,2020-08-15,4.0,10.0,700.0
CHNL28,2020-09-15,2.0,5.0,620.0
CHNL28,2020-10-15,4.0,10.0,780.0
CHNL28,2020-11-15,4.0,5.0,2220.0
CHNL28,2020-12-15,2.0,5.0,680.0
CHNL28,2021-01-15,2.0,10.0,780.0
CHNL28,2021-02-15,5.0,5.0,660.0
CHNL28,2021-03-15,2.0,10.0,710.0
CHNL28,2021-04-15,2.0,5.0,1000.0
CHNL28,2021-05-15,2.0,5.0,700.0
CHNL28,2021-06-15,2.0,20.0,1280.0
CHNL28,2021-07-15,3.0,5.0,840.0
CHNL28,2021-08-15,6.0,5.0,770.0
CHNL28,2021-09-15,2.0,10.0,660.0
CHNL28,2021-10-15,4.0,5.0,620.0
CHNL28,2021-11-15,4.0,5.0,820.0
CHNL28,2021-12-15,2.0,5.0,680.0
CHNL28,2022-01-15,2.0,5.0,820.0
CHNL28,2022-02-15,4.0,5.0,770.0
CHNL28,2022-04-15,4.0,5.0,730.0
CHNL28,2022-07-15,3.0,10.0,780.0
CHNL28,2022-10-15,2.0,,800.0
CHNL28,2022-11-15,2.0,5.0,880.0
CHNL29,2012-01-15,2.15,35.0,2065.0
CHNL29,2012-02-15,1.6700000000000002,35.0,1970.0
CHNL29,2012-03-15,2.73,40.0,2050.0
CHNL29,2012-04-15,3.21,40.0,3245.0
CHNL29,2012-05-15,3.525,45.0,2545.0
CHNL29,2012-06-15,5.930000000000001,35.0,2495.0
CHNL29,2012-07-15,17.4,40.0,2490.0
CHNL29,2012-08-15,29.0,40.0,2520.0
CHNL29,2012-09-15,25.05,40.0,1930.0
CHNL29,2012-10-15,20.9,40.0,2535.0
CHNL29,2012-11-15,25.55,50.0,2265.0
CHNL29,2012-12-15,11.41,40.0,2160.0
CHNL29,2013-01-15,2.545,,2645.0
CHNL29,2013-02-15,2.975,25.0,2170.0
CHNL29,2013-03-15,4.4799999999999995,15.0,2200.0
CHNL29,2013-05-15,5.54,40.0,955.0
CHNL29,2013-06-15,11.469999999999999,45.0,905.0
CHNL29,2013-07-15,14.4,20.0,870.0
CHNL29,2013-08-15,29.0,45.0,950.0
CHNL29,2013-09-15,29.9,40.0,760.0
CHNL29,2013-10-15,30.849999999999998,20.0,975.0
CHNL29,2013-11-15,12.55,25.0,875.0
CHNL29,2013-12-15,5.295,30.0,950.0
CHNL29,2014-01-15,5.14,10.0,975.0
CHNL29,2014-02-15,4.19,10.0,970.0
CHNL29,2014-03-15,5.36,35.0,945.0
CHNL29,2014-04-15,3.8,45.0,950.0
CHNL29,2014-05-15,4.44,45.0,925.0
CHNL29,2014-06-15,5.635000000000001,45.0,180.0
CHNL29,2014-07-15,5.015000000000001,40.0,545.0
CHNL29,2014-08-15,6.055,35.0,935.0
CHNL29,2014-09-15,11.25,40.0,100.0
CHNL29,2014-10-15,12.3,50.0,390.0
CHNL29,2014-11-15,12.6,45.0,950.0
CHNL29,2014-12-15,11.549999999999999,50.0,645.0
CHNL29,2015-01-15,5.19,35.0,545.0
CHNL29,2015-02-15,4.53,45.0,305.0
CHNL29,2015-03-15,5.645,50.0,355.0
CHNL29,2015-04-15,6.51,30.0,200.0
CHNL29,2015-05-15,6.8100000000000005,30.0,451.0
CHNL29,2015-06-15,12.8,50.0,175.0
CHNL29,2015-07-15,5.6049999999999995,50.0,450.0
CHNL29,2015-08-15,21.85,40.0,175.0
CHNL29,2015-09-15,21.65,50.0,210.0
CHNL29,2015-10-15,13.45,45.0,780.0
CHNL29,2015-11-15,11.350000000000001,35.0,385.0
CHNL29,2015-12-15,5.295,55.0,420.0
CHNL29,2016-01-15,5.535,40.0,475.0
CHNL29,2016-03-15,5.4,45.0,385.0
CHNL29,2016-04-15,5.98,35.0,235.0
CHNL29,2016-05-15,7.3,50.0,195.0
CHNL29,2016-06-15,8.31,40.0,1150.0
CHNL29,2016-07-15,10.274999999999999,45.0,685.0
CHNL29,2016-08-15,12.3,105.0,930.0
CHNL29,2016-09-15,12.149999999999999,45.0,825.0
CHNL29,2016-10-15,12.0,45.0,845.0
CHNL29,2016-11-15,8.69,40.0,1000.0
CHNL29,2016-12-15,7.6899999999999995,20.0,990.0
CHNL29,2017-01-15,6.645,30.0,990.0
CHNL29,2017-02-15,3.3800000000000003,55.0,1115.0
CHNL29,2017-03-15,4.31,40.0,1195.0
CHNL29,2017-04-15,5.695,20.0,815.0
CHNL29,2017-05-15,6.17,30.0,850.0
CHNL29,2017-06-15,5.885,55.0,815.0
CHNL29,2017-07-15,9.735000000000001,65.0,905.0
CHNL29,2017-08-15,18.9,105.0,880.0
CHNL29,2017-09-15,7.34,45.0,840.0
CHNL29,2017-10-15,12.5,40.0,760.0
CHNL29,2017-11-15,22.5,75.0,800.0
CHNL29,2017-12-15,12.0,55.0,585.0
CHNL29,2018-01-15,10.0,70.0,645.0
CHNL29,2018-02-15,10.25,35.0,1055.0
CHNL29,2018-03-15,9.5,65.0,855.0
CHNL29,2018-04-15,11.0,55.0,680.0
CHNL29,2018-05-15,9.0,35.0,655.0
CHNL29,2018-06-15,8.0,40.0,495.0
CHNL29,2018-07-15,3.5,40.0,720.0
CHNL29,2018-08-15,9.0,30.0,915.0
CHNL29,2018-09-15,4.5,40.0,3110.0
CHNL29,2018-10-15,8.5,40.0,2285.0
CHNL29,2018-11-15,5.0,40.0,1690.0
CHNL29,2018-12-15,3.0,20.0,1995.0
CHNL29,2019-02-15,4.0,50.0,1435.0
CHNL29,2019-03-15,3.5,35.0,1475.0
CHNL29,2019-04-15,6.0,50.0,1600.0
CHNL29,2019-05-15,5.0,30.0,570.0
CHNL29,2019-06-15,7.0,40.0,590.0
CHNL29,2019-07-15,11.0,40.0,665.0
CHNL29,2019-08-15,9.0,45.0,630.0
CHNL29,2019-09-15,10.0,35.0,1715.0
CHNL29,2019-10-15,11.5,35.0,1505.0
CHNL29,2019-11-15,3.0,40.0,1300.0
CHNL29,2019-12-15,11.5,30.0,1155.0
CHNL29,2020-01-15,10.0,45.0,1155.0
CHNL29,2020-03-15,3.5,35.0,1310.0
CHNL29,2020-04-15,3.5,30.0,890.0
CHNL29,2020-05-15,10.0,45.0,535.0
CHNL29,2020-06-15,6.5,40.0,690.0
CHNL29,2020-07-15,21.5,45.0,860.0
CHNL29,2020-08-15,5.0,37.5,1615.0
CHNL29,2020-09-15,3.0,40.0,3105.0
CHNL29,2020-10-15,15.0,12.5,2565.0
CHNL29,2020-11-15,3.5,50.0,2210.0
CHNL29,2020-12-15,4.0,30.0,1860.0
CHNL29,2021-02-15,6.0,30.0,1820.0
CHNL29,2021-04-15,1.0,14.0,1730.0
CHNL29,2021-05-15,3.5,30.0,1630.0
CHNL29,2021-06-15,6.0,40.0,905.0
CHNL29,2021-07-15,5.0,50.0,1655.0
CHNL29,2021-08-15,13.0,50.0,1885.0
CHNL29,2021-09-15,10.5,50.0,3680.0
CHNL29,2021-10-15,3.5,50.0,6390.0
CHNL29,2021-11-15,15.5,36.0,7610.0
CHNL29,2021-12-15,18.0,30.0,9045.0
CHNL29,2022-02-15,3.0,20.0,9375.0
CHNL29,2022-03-15,6.0,25.0,9135.0
CHNL29,2022-04-15,1.5,30.0,8730.0
CHNL29,2022-05-15,1.0,25.0,8450.0
CHNL29,2022-06-15,2.0,24.0,2220.0
CHNL29,2022-07-15,2.0,50.0,3315.0
CHNL29,2022-08-15,20.0,49.0,2640.0
CHNL29,2022-09-15,26.0,47.5,3920.0
CHNL29,2022-10-15,11.5,40.0,4080.0
CHNL29,2022-11-15,10.0,35.0,1660.0
CHNL29,2022-12-15,4.0,35.0,2000.0
CHNL30,2016-01-15,3.5,20.0,1230.0
CHNL30,2016-04-15,9.5,29.5,151.0
CHNL30,2016-05-15,7.5,41.0,775.0
CHNL30,2016-06-15,10.5,40.5,682.5
CHNL30,2016-07-15,3.5,55.5,370.0
CHNL30,2016-08-15,7.0,20.0,410.0
CHNL30,2016-09-15,17.5,103.0,500.0
CHNL30,2016-10-15,6.0,39.5,1205.0
CHNL30,2016-11-15,2.0,45.0,835.0
CHNL30,2016-12-15,4.0,28.0,915.0
CHNL30,2017-01-15,2.5,15.0,890.0
CHNL30,2017-02-15,3.5,30.0,855.0
CHNL30,2017-03-15,3.0,25.0,960.0
CHNL30,2017-04-15,2.5,10.0,845.0
CHNL30,2017-05-15,7.0,11.0,785.0
CHNL30,2017-06-15,3.5,40.0,580.0
CHNL30,2017-07-15,38.5,50.0,710.0
CHNL30,2017-08-15,9.5,30.0,720.0
CHNL30,2017-09-15,6.5,40.0,680.0
CHNL30,2017-10-15,32.0,80.0,710.0
CHNL30,2017-11-15,10.0,50.0,1630.0
CHNL30,2017-12-15,8.0,30.0,1060.0
CHNL30,2018-01-15,7.0,30.0,1330.0
CHNL30,2018-02-15,7.0,10.0,1490.0
CHNL30,2018-03-15,6.0,20.0,1350.0
CHNL30,2018-04-15,8.0,40.0,1040.0
CHNL30,2018-05-15,10.0,20.0,560.0
CHNL30,2018-06-15,6.0,60.0,550.0
CHNL30,2018-07-15,20.0,40.0,530.0
CHNL30,2018-08-15,20.0,30.0,890.0
CHNL30,2018-09-15,9.0,40.0,650.0
CHNL30,2018-10-15,5.0,40.0,890.0
CHNL30,2018-11-15,30.0,60.0,990.0
CHNL30,2018-12-15,12.0,110.0,680.0
CHNL30,2019-01-15,4.0,20.0,1190.0
CHNL30,2019-02-15,10.0,40.0,1220.0
CHNL30,2019-03-15,2.5,30.0,1340.0
CHNL30,2019-04-15,10.5,35.0,1090.0
CHNL30,2019-05-15,19.0,35.0,685.0
CHNL30,2019-06-15,13.0,40.0,795.0
CHNL30,2019-07-15,27.5,35.0,880.0
CHNL30,2019-08-15,11.5,45.0,920.5
CHNL30,2019-09-15,43.5,40.0,1040.0
CHNL30,2019-10-15,13.5,55.0,1080.0
CHNL30,2019-11-15,19.0,20.0,940.0
CHNL30,2019-12-15,3.0,30.0,680.0
CHNL30,2020-01-15,2.0,17.0,1480.0
CHNL30,2020-02-15,3.0,20.0,970.0
CHNL30,2020-03-15,4.0,50.0,960.0
CHNL30,2020-04-15,20.0,19.0,1200.0
CHNL30,2020-05-15,70.0,22.0,660.0
CHNL30,2020-06-15,15.0,20.0,820.0
CHNL30,2020-07-15,15.0,27.0,1020.0
CHNL30,2020-08-15,14.0,42.0,900.0
CHNL30,2020-09-15,76.0,40.0,990.0
CHNL30,2020-10-15,8.0,34.0,1020.0
CHNL30,2020-11-15,11.0,35.0,840.0
CHNL30,2020-12-15,13.0,18.0,950.0
CHNL30,2021-01-15,5.0,22.0,1240.0
CHNL30,2021-02-15,13.0,26.0,1100.0
CHNL30,2021-03-15,20.0,17.0,1210.0
CHNL30,2021-04-15,19.0,15.0,1170.0
CHNL30,2021-05-15,9.0,17.0,680.0
CHNL30,2021-06-15,27.0,27.0,860.0
CHNL30,2021-07-15,14.0,31.0,1030.0
CHNL30,2021-08-15,58.0,45.0,1400.0
CHNL30,2021-09-15,55.0,38.0,1330.0
CHNL30,2021-10-15,12.0,31.0,1240.0
CHNL30,2021-11-15,17.0,25.0,1010.0
CHNL30,2021-12-15,20.0,21.0,1160.0
CHNL30,2022-01-15,11.0,22.0,1110.0
CHNL30,2022-03-15,11.0,14.0,1580.0
CHNL30,2022-04-15,5.0,21.0,1380.0
CHNL30,2022-05-15,13.0,20.0,760.0
CHNL30,2022-06-15,19.0,23.0,580.0
CHNL30,2022-07-15,31.0,28.0,600.0
CHNL30,2022-08-15,51.0,31.0,670.0
CHNL30,2022-09-15,34.0,36.0,1650.0
CHNL30,2022-10-15,26.0,28.0,690.0
CHNL30,2022-11-15,27.0,22.0,610.0
CHNL30,2022-12-15,3.0,25.0,1210.0
CHNL31,2016-01-15,11.010000000000002,40.0,964.0
CHNL31,2016-02-15,9.25,33.0,992.0
CHNL31,2016-03-15,7.0200000000000005,25.0,939.0
CHNL31,2016-04-15,1.8,21.0,1020.0
CHNL31,2016-05-15,6.1000000000000005,38.0,941.0
CHNL31,2016-06-15,16.049999999999997,38.0,986.0
CHNL31,2016-07-15,10.200000000000001,39.0,862.0
CHNL31,2016-08-15,8.9,49.0,445.0
CHNL31,2016-09-15,10.9,48.0,982.0
CHNL31,2016-10-15,2.8,41.0,998.0
CHNL31,2016-11-15,5.1000000000000005,47.0,1450.0
CHNL31,2016-12-15,10.7,48.0,1240.0
CHNL31,2017-01-15,5.4,31.0,1370.0
CHNL31,2017-02-15,8.9,29.0,1280.0
CHNL31,2017-03-15,12.3,31.0,1280.0
CHNL31,2017-04-15,4.0,20.0,1420.0
CHNL31,2017-05-15,6.0,20.0,1000.0
CHNL31,2017-06-15,1.0,10.0,600.0
CHNL31,2017-07-15,12.0,20.0,440.0
CHNL31,2017-08-15,3.0,20.0,570.0
CHNL31,2017-09-15,6.0,20.0,910.0
CHNL31,2017-10-15,16.0,40.0,1220.0
CHNL31,2017-11-15,14.5,25.0,795.0
CHNL31,2017-12-15,9.0,20.0,950.0
CHNL31,2018-01-15,12.0,40.0,870.0
CHNL31,2018-02-15,10.5,25.0,1280.0
CHNL31,2018-03-15,1.0,20.0,1120.0
CHNL31,2018-04-15,1.0,30.0,1180.0
CHNL31,2018-05-15,1.0,20.0,770.0
CHNL31,2018-06-15,1.0,20.0,640.0
CHNL31,2018-07-15,1.0,20.0,450.0
CHNL31,2018-08-15,2.0,20.0,480.0
CHNL31,2018-09-15,8.0,40.0,460.0
CHNL31,2018-10-15,31.0,40.0,480.0
CHNL31,2018-11-15,4.0,40.0,750.0
CHNL31,2018-12-15,4.0,20.0,700.0
CHNL31,2019-01-15,6.0,20.0,880.0
CHNL31,2019-02-15,7.0,20.0,1380.0
CHNL31,2019-03-15,6.0,10.0,1570.0
CHNL31,2019-04-15,7.0,20.0,1060.0
CHNL31,2019-05-15,18.0,20.0,920.0
CHNL31,2019-06-15,4.0,20.0,100.0
CHNL31,2019-07-15,13.0,20.0,580.0
CHNL31,2019-08-15,16.0,30.0,550.0
CHNL31,2019-09-15,32.0,30.0,580.0
CHNL31,2019-10-15,19.0,30.0,520.0
CHNL31,2019-11-15,14.0,40.0,480.0
CHNL31,2019-12-15,11.0,20.0,600.0
CHNL31,2020-01-15,10.0,30.0,900.0
CHNL31,2020-02-15,10.0,20.0,970.0
CHNL31,2020-03-15,10.0,20.0,1170.0
CHNL31,2020-04-15,5.0,30.0,960.0
CHNL31,2020-05-15,10.0,20.0,1500.0
CHNL31,2020-06-15,25.0,16.0,440.0
CHNL31,2020-07-15,22.0,22.0,480.0
CHNL31,2020-08-15,30.0,24.0,260.0
CHNL31,2020-09-15,41.0,21.0,250.0
CHNL31,2020-10-15,16.0,23.0,290.0
CHNL31,2020-11-15,20.0,25.0,490.0
CHNL31,2020-12-15,5.0,20.0,970.0
CHNL31,2021-01-15,4.0,19.0,980.0
CHNL31,2021-02-15,6.0,17.0,1070.0
CHNL31,2021-03-15,4.0,20.0,980.0
CHNL31,2021-04-15,3.0,13.0,920.0
CHNL31,2021-05-15,4.0,15.0,910.0
CHNL31,2021-06-15,2.0,11.0,500.0
CHNL31,2021-07-15,16.0,19.0,380.0
CHNL31,2021-08-15,37.0,27.0,500.0
CHNL31,2021-09-15,28.0,20.0,440.0
CHNL31,2021-10-15,28.0,20.0,410.0
CHNL31,2021-11-15,3.0,17.0,810.0
CHNL31,2021-12-15,7.0,20.0,960.0
CHNL31,2022-01-15,6.0,16.0,810.0
CHNL31,2022-05-15,6.0,8.0,630.0
CHNL31,2022-07-15,7.0,17.0,390.0
CHNL31,2022-10-15,14.0,17.0,360.0
CHNL32,2005-01-15,0.55,151.0,1235.0
CHNL32,2005-02-15,0.82,145.0,1450.0
CHNL32,2005-03-15,0.82,176.0,1475.0
CHNL32,2005-04-15,1.64,70.0,1200.0
CHNL32,2005-05-15,0.55,130.0,1115.0
CHNL32,2005-06-15,0.55,66.0,1310.0
CHNL32,2005-07-15,0.82,115.0,980.0
CHNL32,2005-08-15,1.09,80.0,1140.0
CHNL32,2005-09-15,0.6849999999999999,80.0,1011.5000000000001
CHNL32,2005-10-15,0.55,110.0,1075.0
CHNL32,2005-11-15,0.615,113.0,1180.0
CHNL32,2005-12-15,0.55,110.0,1205.0
CHNL32,2006-01-15,0.82,114.0,1335.0
CHNL32,2006-02-15,0.6849999999999999,140.0,1210.0
CHNL32,2006-03-15,0.82,160.0,1265.0
CHNL32,2006-04-15,1.09,55.0,1260.0
CHNL32,2006-05-15,0.085,85.0,1105.0
CHNL32,2006-06-15,0.27,100.0,1030.0
CHNL32,2006-07-15,1.365,150.0,1105.0
CHNL32,2006-08-15,0.82,107.0,1040.0
CHNL32,2006-09-15,0.82,100.0,1055.0
CHNL32,2006-10-15,0.6849999999999999,105.5,1190.0
CHNL32,2006-11-15,0.6849999999999999,101.5,850.0
CHNL32,2006-12-15,0.55,95.0,1245.0
CHNL32,2007-01-15,0.55,60.0,1401.5
CHNL32,2007-02-15,2.185,48.5,1425.0
CHNL32,2007-03-15,0.6849999999999999,50.5,1240.0
CHNL32,2007-04-15,0.82,90.0,1347.5
CHNL32,2007-05-15,1.09,65.0,1170.0
CHNL32,2007-06-15,0.82,65.0,1110.0
CHNL32,2007-07-15,0.955,70.0,1145.0
CHNL32,2007-08-15,1.3699999999999999,80.0,1185.0
CHNL32,2007-09-15,1.09,90.0,980.0
CHNL32,2007-10-15,0.55,80.0,1120.0
CHNL32,2007-11-15,0.955,96.5,1230.0
CHNL32,2007-12-15,1.3699999999999999,70.0,1120.0
CHNL32,2008-01-15,0.8,146.5,1155.0
CHNL32,2008-02-15,1.915,146.5,1265.0
CHNL32,2008-03-15,2.73,166.0,1345.0
CHNL32,2008-04-15,0.82,115.0,850.0
CHNL32,2008-05-15,1.365,90.0,1193.5
CHNL32,2008-06-15,0.955,163.0,1190.0
CHNL32,2008-07-15,1.09,87.0,1110.0
CHNL32,2008-08-15,1.23,85.5,1070.0
CHNL32,2008-09-15,0.6849999999999999,90.0,1000.0
CHNL32,2008-10-15,0.55,120.0,1040.0
CHNL32,2008-11-15,0.55,174.5,945.0
CHNL32,2008-12-15,1.8699999999999999,120.0,750.0
CHNL32,2009-01-15,2.855,97.0,1350.0
CHNL32,2009-02-15,2.585,71.0,1295.0
CHNL32,2009-03-15,4.68,162.5,2110.0
CHNL32,2009-04-15,1.65,78.5,1740.0
CHNL32,2009-05-15,4.175,83.0,1725.0
CHNL32,2009-06-15,2.16,72.5,1661.5
CHNL32,2009-07-15,1.875,81.5,1581.5
CHNL32,2009-08-15,1.875,73.5,1621.5
CHNL32,2009-09-15,2.615,85.5,1250.0
CHNL32,2009-10-15,3.1350000000000002,105.0,1745.0
CHNL32,2009-11-15,5.005,124.0,1235.0
CHNL32,2009-12-15,4.04,90.5,1770.0
CHNL32,2010-01-15,6.07,96.5,1645.0
CHNL32,2010-02-15,8.215,90.5,2875.0
CHNL32,2010-03-15,4.83,81.5,2085.0
CHNL32,2010-04-15,4.0200000000000005,62.5,2651.5
CHNL32,2010-05-15,6.67,71.0,2130.0
CHNL32,2010-06-15,4.9350000000000005,60.0,1810.0
CHNL32,2010-07-15,6.53,99.0,1843.5
CHNL32,2010-08-15,6.465,40.0,1815.0
CHNL32,2010-09-15,7.14,67.0,1605.0
CHNL32,2010-10-15,1.8,90.5,1936.5
CHNL32,2010-11-15,3.305,97.5,2065.0
CHNL32,2010-12-15,2.9949999999999997,59.0,2246.5
CHNL32,2011-01-15,2.29,88.0,1320.0
CHNL32,2011-02-15,3.3449999999999998,86.5,1410.0
CHNL32,2011-03-15,3.655,104.0,1755.0
CHNL32,2011-04-15,3.15,82.5,1355.0
CHNL32,2011-05-15,5.56,102.5,2085.0
CHNL32,2011-06-15,1.95,91.0,1730.0
CHNL32,2011-07-15,3.8449999999999998,67.0,1880.0
CHNL32,2011-08-15,2.37,76.0,1785.0
CHNL32,2011-09-15,3.335,63.5,1650.0
CHNL32,2011-10-15,2.94,93.0,1385.0
CHNL32,2011-11-15,2.69,61.0,1930.0
CHNL32,2011-12-15,1.76,61.5,1470.0
CHNL32,2012-01-15,2.4299999999999997,72.0,2011.4999999999998
CHNL32,2012-02-15,2.82,82.0,1670.0
CHNL32,2012-03-15,1.46,67.165,2071.665
CHNL32,2012-04-15,1.66,85.0,2141.5
CHNL32,2012-05-15,2.0799999999999996,69.335,1985.0
CHNL32,2012-06-15,3.4099999999999997,58.835,1831.5
CHNL32,2012-07-15,2.99,87.0,1730.0
CHNL32,2012-08-15,2.52,61.0,1770.0
CHNL32,2012-09-15,2.61,94.0,1657.0
CHNL32,2012-10-15,3.3800000000000003,79.0,1490.0
CHNL32,2012-11-15,0.99,88.0,1403.0
CHNL32,2012-12-15,3.22,67.0,1813.0
CHNL32,2013-01-15,2.145,60.0,1931.5
CHNL32,2013-02-15,2.375,50.5,2113.0
CHNL32,2013-03-15,2.4299999999999997,52.0,2233.5
CHNL32,2013-04-15,2.5100000000000002,69.5,2116.5
CHNL32,2013-05-15,0.8899999999999999,67.5,2316.5
CHNL32,2013-06-15,1.7049999999999998,69.0,1721.5
CHNL32,2013-07-15,2.77,85.0,1927.0
CHNL32,2013-08-15,3.09,77.0,1580.0
CHNL32,2013-09-15,1.86,92.0,1803.0
CHNL32,2013-10-15,2.59,61.0,1895.0
CHNL32,2013-11-15,2.39,60.0,2123.0
CHNL32,2013-12-15,0.95,65.0,2250.0
CHNL32,2014-01-15,1.41,80.0,2453.0
CHNL32,2014-02-15,0.65,57.0,2097.0
CHNL32,2014-03-15,1.11,100.0,2400.0
CHNL32,2014-04-15,1.35,43.0,1743.0
CHNL32,2014-05-15,0.53,57.0,1800.0
CHNL32,2014-06-15,1.52,47.0,1847.0
CHNL32,2014-07-15,2.37,47.0,2040.0
CHNL32,2014-08-15,3.32,90.0,1420.0
CHNL32,2014-09-15,2.76,97.0,1740.0
CHNL32,2014-10-15,1.25,100.0,1583.0
CHNL32,2014-11-15,1.28,120.0,2033.0
CHNL32,2014-12-15,0.76,100.0,2260.0
CHNL32,2015-01-15,2.4499999999999997,87.0,2397.0
CHNL32,2015-02-15,1.97,87.0,2380.0
CHNL32,2015-03-15,2.54,157.0,2213.0
CHNL32,2015-04-15,2.75,140.0,2070.0
CHNL32,2015-05-15,2.75,110.0,2123.0
CHNL32,2015-06-15,1.89,87.0,2317.0
CHNL32,2015-07-15,2.85,83.0,1843.0
CHNL32,2015-08-15,2.2399999999999998,93.0,1820.0
CHNL32,2015-09-15,1.7799999999999998,102.0,1580.0
CHNL32,2015-10-15,3.3400000000000003,108.0,1513.0
CHNL32,2015-11-15,1.5299999999999998,125.0,2000.0
CHNL32,2015-12-15,1.97,111.0,1787.0
CHNL32,2016-01-15,1.74,84.0,1960.0
CHNL32,2016-02-15,2.54,83.0,1803.0
CHNL32,2016-03-15,7.24,79.0,1740.0
CHNL32,2016-04-15,2.72,83.0,1967.0
CHNL32,2016-05-15,1.55,71.0,1737.0
